2019-10-28 05:29:06,804 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '3343b069-f34b-449f-ab14-931081613f03', 'date': 'Mon, 28 Oct 2019 05:29:06 GMT', 'content-length': '19920', 'content-type': 'application/json'}]
2019-10-28 05:29:07,480 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '37149371-b70a-4cc0-accf-3f00e90ff8b4', 'date': 'Mon, 28 Oct 2019 05:29:06 GMT', 'content-length': '19920', 'content-type': 'application/json'}]
2019-10-28 05:29:45,009 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'ddbf9834-a5bb-4aad-8694-a6b484b8d1b3', 'date': 'Mon, 28 Oct 2019 05:29:44 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
2019-10-28 05:29:45,498 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=b2273191-140f-403f-8486-86aaa2575ba9 [headers: {'x-amzn-requestid': 'b4e38e53-c069-4c20-9cad-026782b2ef31', 'date': 'Mon, 28 Oct 2019 05:29:45 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2019-10-28 05:29:45,921 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'ab090904-3f40-4008-95f6-23366ec87b2e', 'date': 'Mon, 28 Oct 2019 05:29:45 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
2019-10-28 05:29:48,103 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '45906c1c-a059-4251-8428-755f3a9883a5', 'date': 'Mon, 28 Oct 2019 05:29:48 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
2019-10-28 05:34:25,783 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'aa99264d-5d07-4427-b96d-5b47eb614571', 'date': 'Mon, 28 Oct 2019 05:34:25 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
2019-10-28 05:34:26,471 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=e8f881b4-9b3e-4a5a-8c4e-44faed77b2e5 [headers: {'x-amzn-requestid': 'b40895e7-c6a7-4d43-a4d0-6712dc9992eb', 'date': 'Mon, 28 Oct 2019 05:34:26 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2019-10-28 05:34:27,799 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '1ea50639-625d-4098-aaac-2cc273281016', 'date': 'Mon, 28 Oct 2019 05:34:26 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
2019-10-28 05:34:30,021 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'c72e8587-3fa9-4236-a043-97fdf0667e5b', 'date': 'Mon, 28 Oct 2019 05:34:29 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
2019-10-28 05:42:03,938 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A624204576463%3Astack%2Fawseb-e-xepdcsc72m-stack%2F255a22e0-f943-11e9-8a51-0a4f04019892&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '3d827530-ca0a-459d-b6ac-410bc6c9b8a8', 'date': 'Mon, 28 Oct 2019 05:42:03 GMT', 'content-length': '19892', 'content-type': 'application/json'}]
